job_title,company,job_location,first_seen,search_city,search_country,search_position,job_level,job_type,year,month,month_name,country
"Data Quality Manager, Football Association",Guardian Jobs,"Wembley, England, United Kingdom",2024-01-14,Luton,United Kingdom,Supervisor Files,Mid-Senior,Onsite,2024,1,January,United Kingdom
Senior Ml Engineer,Cybercoders,"Santa Clara, CA",2024-01-14,Livermore,United States,Electronics-Test Engineer,Mid-Senior,Onsite,2024,1,January,United States
"Director, Ontology And Data Modeling",Jobs For Humanity,"Richmond, VA",2024-01-15,Fitzgerald,United States,Director Translation,Mid-Senior,Onsite,2024,1,January,United States
Sr. Data Scientist,Anser,"Washington, DC",2024-01-14,West Springfield,United States,Chemist,Mid-Senior,Onsite,2024,1,January,United States
Sr. Data Engineer - Etl With Security Clearance,Clearancejobs,"Chantilly, VA",2024-01-16,Manassas,United States,Loading-Machine Tool-Setter,Mid-Senior,Onsite,2024,1,January,United States
Assitant Vice President - Senior Database Sme,Mufg,"London, England, United Kingdom",2024-01-16,Slough,United Kingdom,Manager Forms Analysis,Mid-Senior,Onsite,2024,1,January,United Kingdom
Sr Analyst It - Data Science,Reynolds American Inc.,"Winston-Salem, NC",2024-01-14,Winston-Salem,United States,Data Entry Clerk,Mid-Senior,Onsite,2024,1,January,United States
Electrical Data Center Project Manager,Miller Electric Company,"Dallas, TX",2024-01-16,Garland,United States,Miller Supervisor,Mid-Senior,Onsite,2024,1,January,United States
"Distinguished Engineer, Card Tech Data (Remote-Elligble)",Jobs For Humanity,"Boston, MA",2024-01-15,Lowell,United States,Data Communications Technician,Mid-Senior,Onsite,2024,1,January,United States
Quality Coach / Iqa - It And Data Apprenticeships,Km Education Recruitment,"Sheffield, England, United Kingdom",2024-01-14,Mansfield,United Kingdom,Recruiter,Mid-Senior,Onsite,2024,1,January,United Kingdom
"Staff Data Scientist, Financial Strategy",Stripe,"Seattle, WA",2024-01-16,Kent,United States,Geophysicist,Mid-Senior,Onsite,2024,1,January,United States
"Senior Counsel, Data Privacy And Cybersecurity",Professional Diversity Network,"Cypress, CA",2024-01-15,West Covina,United States,Computer Security Specialist,Mid-Senior,Onsite,2024,1,January,United States
Data Engineering Manager - San Antonio,Argo Group,"San Antonio, TX",2024-01-15,San Antonio,United States,Electrical-Installation Supervisor,Mid-Senior,Onsite,2024,1,January,United States
Data Operations Manager,Tredence Inc.,"St Louis, MO",2024-01-17,Stillwater,United States,Supervisor Pipelines,Mid-Senior,Onsite,2024,1,January,United States
